algorithm,function,dimension,mean,median,std,best,worst,mean_restarts,mean_time
CARS,21,30,0.0,0.0,0.0,0.0,0.0,2.4,39.518153524398805
jSO,21,30,0.0,0.0,0.0,0.0,0.0,0.0,39.00293369293213
NL-SHADE,21,30,0.0,0.0,0.0,0.0,0.0,0.0,39.586517572402954
CARS,22,30,200.00000000000054,200.00000000000045,1.8198773652309366e-13,200.00000000000045,200.0000000000009,4.0,42.2365104675293
jSO,22,30,200.00000000000045,200.0,9.094947017729282e-13,200.0,200.00000000000227,0.0,42.95879578590393
NL-SHADE,22,30,200.0,200.0,0.0,200.0,200.0,0.0,42.73274884223938
CARS,23,30,200.00000000000082,200.0000000000009,3.403492287344012e-13,200.00000000000045,200.00000000000136,4.0,33.26331977844238
jSO,23,30,200.00000000000037,200.0,4.455958468785414e-13,200.0,200.0000000000009,0.0,34.769851779937746
NL-SHADE,23,30,200.0,200.0,0.0,200.0,200.0,0.0,33.53391041755676
CARS,24,30,420.4775103473776,420.46983136012705,0.03068042311771225,420.444792417853,420.5335518800075,3.4,37.203451776504515
jSO,24,30,420.52360580755965,420.5204947135262,0.02997474949255445,420.47809387246343,420.56232825399,0.0,37.11648964881897
NL-SHADE,24,30,420.47503175927903,420.4565288439753,0.03147082563089474,420.4472025385562,420.533720951938,0.0,37.48898544311523
CARS,25,30,813.5768558146333,825.7509391072044,24.450656332997294,764.6763942197504,826.0574646115492,3.8,121.12773752212524
jSO,25,30,825.1300914717079,825.357664515514,0.4579696211048174,824.2141598541316,825.361941942354,0.0,127.25976877212524
NL-SHADE,25,30,825.4985077288627,825.3713410795822,0.2149547083537103,825.2510003588527,825.7599415151376,0.0,120.35121479034424
