variant,dim,func,seed,budget,best_fit,elapsed_s,n_basins,n_saddles,avg_basins,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
NL-SHADE,10,4,2,1000,105.31313838371034,0.89,,,,,,133.15525855048395,133.15525855048395,105.31313838371034
CMA-ES,10,1,0,1000,3.8894801860093366,0.91,,,,22467.04454251228,18661.79949347552,2815.8175682122255,40.04309282290245,3.8894801860093366
CMA-ES,10,4,0,1000,40.00688051396128,0.94,,,,149.15624024039084,142.62385648414397,117.5392187757634,40.68172623913108,40.00688051396128
NL-SHADE,10,4,1,1000,58.038842376470484,0.96,,,,,,93.38189226339375,93.38189226339375,58.038842376470484
CMA-ES,10,4,1,1000,93.57041734318796,0.97,,,,208.45837315680615,155.3719233899867,131.17474880589407,93.57041734318796,93.57041734318796
CMA-ES,10,4,2,1000,102.80914915545065,1.0,,,,155.1273686693587,125.87723739889827,125.87723739889827,102.80914915545065,102.80914915545065
CMA-ES,10,1,1,1000,94.00222662501074,1.18,,,,9501.577181902463,8828.54107382266,8828.54107382266,2999.1717692485195,94.00222662501074
NL-SHADE,10,1,0,1000,2884.623270949066,1.28,,,,,,8987.022895072976,8590.355849078222,2884.623270949066
NL-SHADE,10,1,1,1000,1741.0448199140692,1.29,,,,,,11777.890606789098,6722.892420675726,1741.0448199140692
NL-SHADE,10,1,2,1000,3531.0989785021234,1.29,,,,,,8389.397178184621,6121.968054109097,3531.0989785021234
NL-SHADE,10,8,0,1000,295.3543644985202,1.35,,,,,,13287538.389840523,1820.8429774777069,295.3543644985202
NL-SHADE,10,8,1,1000,3171.9005816129393,1.36,,,,,,45374327.77587875,3171.9005816129393,3171.9005816129393
NL-SHADE,10,8,2,1000,484.1138859042162,1.36,,,,,,21615126.750715278,1792.8839221891421,484.1138859042162
CMA-ES,10,1,2,1000,5.3924626391620905,1.38,,,,15148.471414443065,15148.471414443065,2757.9471729837373,137.83503945413952,5.3924626391620905
NL-SHADE,10,4,0,1000,52.86543432008057,1.38,,,,,,122.98747072736376,78.51275438515245,52.86543432008057
CMA-ES,10,8,1,1000,134.29068971264314,1.52,,,,483446602.5139405,26589.856210284666,1085.8131265535785,1085.8131265535785,134.29068971264314
CMA-ES,10,8,0,1000,858.8012148572425,2.05,,,,72812099.34741883,306649.6766594644,2383.3957744925137,2064.740444091017,858.8012148572425
CMA-ES,10,8,2,1000,1752.5257380446328,2.05,,,,105633.13375266155,105633.13375266155,23571.372084918916,2437.3818608123165,1752.5257380446328
ORC-BO,10,1,0,1000,17835.53195925936,46.27,3,27,2.0,26234.146882974244,22891.541206587663,22054.343511353654,22054.343511353654,17835.53195925936
ORC-BO,10,8,0,1000,28529.030397560404,46.33,4,42,2.0,28026047.67766684,28026047.67766684,27003775.21372346,28529.030397560404,28529.030397560404
ORC-BO,10,8,1,1000,30622931.585623097,46.7,2,13,2.7,3536926412.9106536,102086730.99177234,102086730.99177234,102086730.99177234,30622931.585623097
ORC-BO,10,1,1,1000,12544.259500401376,46.84,2,13,2.7,28701.957071433317,15289.666950282357,12544.259500401376,12544.259500401376,12544.259500401376
ORC-BO,10,4,1,1000,160.5,47.0,2,13,2.7,212.28554784276207,172.22366723851906,172.22366723851906,160.5,160.5
ORC-BO,10,4,2,1000,135.43082496141426,47.25,2,12,1.8,257.9733331405214,162.83362923889797,162.83362923889797,135.43082496141426,135.43082496141426
ORC-BO,10,1,2,1000,13668.42024319321,48.07,2,12,1.8,30335.63152953345,22925.0287738412,13668.42024319321,13668.42024319321,13668.42024319321
ORC-BO,10,8,2,1000,142494687.33802256,49.08,2,12,1.8,142494687.33802256,142494687.33802256,142494687.33802256,142494687.33802256,142494687.33802256
